id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77,60000.0,2023-04-11,Marketing,8900.0,"Street 83, City 30",4767044916,email_239@example.com,18,Medium
2,Name_436,62,50000.0,2025-06-27,Marketing,5894.0,"Street 34, City 28",3371504671,email_122@example.com,18,Low
3,Name_861,61,60000.0,2020-06-01,HR,9889.0,"Street 38, City 9",2762458857,email_425@example.com,17,Medium
4,Name_271,36,70000.0,2020-03-25,IT,0.0,"Street 64, City 39",3765042047,email_747@example.com,18,Medium
5,Name_107,78,60000.0,2023-10-17,IT,7442.0,"Street 37, City 11",3318065628,email_441@example.com,18,Medium
6,Name_72,35,59962.27531622161,2017-05-25,IT,6106.0,"Street 79, City 33",5973801865,email_607@example.com,18,Medium
7,Name_701,73,60000.0,2017-10-26,Finance,3370.0,"Street 91, City 41",1651433312,email_477@example.com,18,Medium
8,Name_21,18,60000.0,2018-12-04,IT,0.0,"Street 31, City 44",1229247184,email_562@example.com,18,Medium
9,Name_615,42,50000.0,2021-05-10,IT,4540.0,"Street 98, City 1",2227084993,email_443@example.com,17,Low
10,Name_122,44,50000.0,2000-01-01,HR,2319.0,"Street 26, City 34",8655380992,email_737@example.com,18,Low
11,Name_467,24,70000.0,2018-01-31,Finance,8527.0,"Street 22, City 38",4685546220,email_798@example.com,18,Medium
12,Name_215,61,59962.27531622161,2000-01-01,IT,8786.0,"Street 71, City 25",8457587566,email_387@example.com,18,Medium
13,Name_331,59,70000.0,2025-05-05,IT,2969.0,"Street 74, City 12",4483007619,email_394@example.com,18,Medium
14,Name_459,46,59962.27531622161,2023-06-30,IT,4387.0,"Street 8, City 33",3544855897,email_351@example.com,17,Medium
15,Name_88,48,59962.27531622161,2019-12-30,IT,7048.0,"Street 73, City 11",2095995799,email_661@example.com,18,Medium
16,Name_373,61,59962.27531622161,2020-05-19,HR,8852.0,"Street 67, City 38",3913354763,email_877@example.com,18,Medium
17,Name_100,60,60000.0,2016-10-23,IT,3611.0,"Street 24, City 30",1672297479,email_469@example.com,18,Medium
18,Name_872,53,60000.0,2022-06-12,IT,4161.0,"Street 82, City 25",8761243386,email_999@example.com,18,Medium
19,Name_664,36,50000.0,2023-12-15,Marketing,5185.0,"Street 53, City 32",9820013669,email_976@example.com,18,Low
20,Name_131,23,70000.0,2018-06-06,IT,8795.0,,,,0,Medium
21,Name_662,42,60000.0,2021-06-27,Finance,0.0,"Street 80, City 46",5197794898,email_138@example.com,18,Medium
22,Name_309,48,70000.0,2024-06-23,Marketing,1150.0,"Street 11, City 20",6579505055,email_647@example.com,18,Medium
23,Name_770,26,60000.0,2017-02-16,Finance,0.0,"Street 99, City 49",2681484008,email_945@example.com,18,Medium
24,Name_344,37,70000.0,2020-10-06,Finance,4709.0,"Street 28, City 15",7157427150,email_683@example.com,18,Medium
